Gene	Avg_Rank	Appearance_Percentage	Emb_Similarity_Score
YHL036W	3.19	48.32%	0.8344
YDR166C	3.48	47.26%	0.8238
YBR291C	23.27	51.20%	0.7973
YJR075W	17.86	50.05%	0.7953
YAL043C	23.56	45.85%	0.7835
YHR115C	59.02	44.96%	0.7472
YLR467W	78.59	37.68%	0.7351
YOR044W	10.23	44.87%	0.8091
YFL017C	37.54	45.88%	0.7690
YIL118W	51.70	44.88%	0.7672
YBR229C	74.25	46.13%	0.7432
YNL090W	16.89	46.95%	0.8180
YMR107W	71.99	43.41%	0.7430
YDL170W	12.55	46.59%	0.8002
YDR216W	44.40	46.56%	0.7548
YOR081C	29.53	44.59%	0.7645
YDR270W	12.03	48.37%	0.8255
YDR280W	46.92	46.45%	0.7606
YJL153C	41.24	46.56%	0.7658
YLR437C	42.36	46.36%	0.7671
YDR505C	86.65	47.12%	0.7744
YER024W	89.05	46.28%	0.7513
YIL035C	40.44	45.17%	0.7673
YIL146C	121.11	42.59%	0.7466
YKL176C	32.47	48.23%	0.7866
YBR041W	106.73	45.95%	0.7267
YOR239W	116.78	46.17%	0.7520
YGR256W	56.97	48.81%	0.7619
YDL201W	56.34	46.22%	0.7899
YCR097W	118.58	38.67%	0.7547
YDL224C	134.66	45.36%	0.7472
YJL108C	47.23	43.85%	0.7740
YPL222W	40.75	45.41%	0.7620
YIL135C	97.16	41.00%	0.7395
YLR291C	46.99	47.51%	0.7572
YNL331C	53.54	50.40%	0.7518
YIL063C	112.41	44.39%	0.7492
YPL090C	143.13	36.60%	0.7371
YDR400W	133.52	43.91%	0.7432
YMR255W	74.79	46.92%	0.7493
YPL156C	149.06	44.12%	0.7430
YFR040W	152.87	43.10%	0.7521
YML038C	142.52	43.26%	0.7697
YCL037C	148.46	43.54%	0.7714
YDL193W	133.99	41.93%	0.7479
YGR121C	92.20	43.60%	0.7545
YHR083W	116.43	42.89%	0.7598
YML054C	145.82	42.50%	0.7376
YDR096W	164.04	43.38%	0.7521
YKL209C	94.68	41.81%	0.7409
YPR094W	76.06	49.34%	0.7486
YIL085C	115.89	44.31%	0.7449
YIL031W	216.43	36.62%	0.7633
YHR209W	112.40	41.32%	0.7422
YCR094W	213.91	38.13%	0.7564
YDR116C	140.38	41.54%	0.7389
YLR018C	178.99	39.62%	0.7638
YPL015C	152.15	39.85%	0.7620
YBL004W	149.62	42.21%	0.7763
YFL042C	181.21	32.27%	0.7602
YLR190W	82.65	45.12%	0.7498
YGL141W	144.54	40.87%	0.7362
YLR459W	76.34	48.31%	0.7648
YNL294C	84.26	46.16%	0.7484
YNL026W	187.48	37.24%	0.7479
YNR053C	145.23	42.97%	0.8076
YGL043W	172.78	40.30%	0.7426
YNL175C	100.96	45.21%	0.7619
YGL184C	127.91	39.66%	0.7262
YMR140W	171.19	38.46%	0.7424
YLR439W	132.07	40.83%	0.7451
YJR049C	193.95	40.89%	0.7502
YNL145W	180.56	34.24%	0.7331
YML006C	61.57	49.20%	0.7528
YJL078C	119.15	43.91%	0.7450
YJR024C	180.71	37.82%	0.7563
YPL180W	61.04	44.11%	0.7422
YDR461W	199.96	34.03%	0.7465
YDR494W	115.94	44.17%	0.7302
YBR264C	107.94	44.61%	0.7611
YKL218C	91.30	41.97%	0.7471
YMR278W	195.85	32.44%	0.7352
YKL008C	154.53	40.10%	0.7593
YPR139C	139.52	37.40%	0.7307
YKL129C	232.26	34.20%	0.7368
YOL021C	82.13	44.96%	0.7706
YGR233C	43.12	48.81%	0.7722
YGR005C	78.29	44.11%	0.7581
YKL120W	188.60	37.89%	0.7406
YGR145W	123.07	44.80%	0.8061
YDL191W	241.71	28.13%	0.7673
YIL143C	236.74	32.98%	0.7509
YML077W	143.87	42.79%	0.7402
YER112W	188.44	38.30%	0.7446
YMR219W	206.33	35.44%	0.7602
