Gene	Avg_Rank	Appearance_Percentage	Similarity_Score
YOR044W	10.27	44.94%	0.7633
YDR017C	21.93	49.29%	0.7652
YJR056C	31.60	18.89%	0.7467
YHR203C	23.50	34.66%	0.6747
YER187W	33.66	16.96%	0.7220
YNL066W	21.60	49.52%	0.7010
YOL158C	46.34	45.38%	0.7283
YKL101W	53.82	44.29%	0.7042
YNR047W	36.39	45.11%	0.7405
YDR398W	40.84	47.39%	0.7017
YHR115C	58.99	44.91%	0.6815
YOL157C	56.61	15.87%	0.7134
YLR251W	12.78	45.96%	0.7458
YKR056W	78.60	43.73%	0.6742
YKR082W	60.89	45.92%	0.7220
Q0275	40.06	18.95%	0.6638
YBR091C	60.33	46.38%	0.7043
YBR090C	89.73	14.70%	0.7110
YLR291C	46.87	47.61%	0.6969
YKL176C	32.53	48.29%	0.7220
YHR132W-A	44.95	10.28%	0.6554
YNL087W	21.42	44.31%	0.7400
YOR081C	29.43	44.58%	0.7183
YJL207C	72.17	40.01%	0.6957
YGR144W	72.24	44.00%	0.6574
YGR090W	94.70	41.95%	0.7120
YJR155W	141.78	42.82%	0.6974
YGR029W	37.37	44.01%	0.7121
YNR068C	54.78	16.79%	0.7673
YLR419W	125.45	15.34%	0.7147
YLR297W	168.62	14.42%	0.6862
YDR407C	99.09	44.66%	0.7138
YML006C	61.39	49.03%	0.6959
YPL180W	60.90	44.25%	0.7010
YLR079W	82.15	45.01%	0.6860
YOR078W	146.30	43.21%	0.6921
Q0055	136.40	17.21%	0.6392
YLR218C	92.49	18.64%	0.6941
YNL331C	53.35	50.37%	0.6982
YMR124W	52.32	16.04%	0.7191
YMR085W	195.69	13.08%	0.7230
YNL175C	100.75	45.24%	0.6998
YNR071C	67.47	14.70%	0.6928
YKL218C	91.19	41.91%	0.6885
YJL084C	139.89	40.92%	0.6939
YHL030W	107.89	42.45%	0.6886
YML083C	122.03	15.57%	0.7235
YPL222W	40.93	45.39%	0.7186
YLR467W	78.51	37.67%	0.6684
YLR260W	56.91	47.90%	0.7219
YER132C	162.73	37.00%	0.6797
YNL162W-A	134.75	7.10%	0.6758
YMR111C	122.66	15.38%	0.7242
YNL124W	100.32	45.82%	0.7002
YNL221C	147.92	39.14%	0.6866
YOR239W	116.98	46.21%	0.6826
YBR243C	145.46	39.20%	0.6823
YOR297C	117.89	46.25%	0.6648
YOR360C	194.71	37.56%	0.6748
YEL003W	144.17	42.98%	0.6924
YGR053C	77.07	16.00%	0.7565
YFR011C	199.66	16.71%	0.6814
YPL054W	167.40	39.61%	0.6957
YHR072W-A	119.17	22.68%	0.6422
YER066W	124.27	17.75%	0.6977
YOR148C	86.56	44.16%	0.6851
YDL193W	133.78	41.99%	0.6955
YDL070W	83.51	44.55%	0.6976
YNL294C	84.51	46.33%	0.6901
YDR056C	105.37	14.66%	0.7174
YOR306C	249.45	30.67%	0.6693
YLR271W	159.97	15.19%	0.7280
YEL049W	162.46	39.45%	0.6847
YGR063C	164.64	37.09%	0.6930
YLR107W	161.90	40.26%	0.6833
YDL213C	205.76	34.71%	0.7116
YBL024W	211.00	34.88%	0.7238
YDL231C	213.30	37.06%	0.6707
YJL109C	243.61	30.65%	0.7013
YGR044C	186.33	38.52%	0.6740
YOR356W	129.89	18.07%	0.6942
YBR013C	194.46	13.62%	0.7107
YLR092W	51.95	45.94%	0.6885
YKL088W	131.70	18.43%	0.6947
YMR275C	225.62	34.51%	0.6879
YBR112C	124.37	39.16%	0.7011
YOL013C	290.05	26.16%	0.6796
YDL225W	254.57	31.60%	0.6783
YKL008C	154.59	40.10%	0.6896
YOL100W	352.61	11.15%	0.6781
YPR063C	77.78	14.88%	0.7278
YDL166C	170.44	39.72%	0.6831
YLR154C	147.15	39.86%	0.6906
YJL078C	118.83	43.88%	0.7067
YLR389C	249.22	32.67%	0.6664
YBR083W	203.18	37.42%	0.6405
YGR287C	62.82	18.35%	0.6979
YDL177C	288.34	3.93%	0.7435
YMR278W	195.38	32.50%	0.6922
YMR290C	175.53	38.91%	0.7297
YGR065C	250.28	29.19%	0.6743
YGL092W	156.13	38.19%	0.6818
YLR164W	161.44	16.10%	0.7296
YOR201C	94.83	46.12%	0.6960
YLR276C	184.38	39.06%	0.7172
YJL122W	215.66	36.43%	0.7150
YDL153C	224.46	35.92%	0.6895
YMR215W	112.60	44.93%	0.6886
YGR229C	259.54	31.49%	0.7163
YGL057C	208.68	14.57%	0.6965
YBR280C	107.54	42.02%	0.6903
YPL063W	210.29	35.88%	0.6790
YOR299W	214.51	36.69%	0.6776
