Gene > Primary DBID	Gene > Systematic Name	Gene > Standard Name
SGD:L000003336	YCLX01W	""
SGD:S000000001	YAL001C	TFC3
SGD:S000000002	YAL002W	VPS8
SGD:S000000003	YAL003W	EFB1
SGD:S000000004	YAL005C	SSA1
SGD:S000000005	YAL007C	ERP2
SGD:S000000006	YAL008W	FUN14
SGD:S000000007	YAL009W	SPO7
SGD:S000000008	YAL010C	MDM10
SGD:S000000009	YAL011W	SWC3
SGD:S000000010	YAL012W	CYS3
SGD:S000000011	YAL013W	DEP1
SGD:S000000012	YAL014C	SYN8
SGD:S000000013	YAL015C	NTG1
SGD:S000000014	YAL016W	TPD3
SGD:S000000015	YAL017W	PSK1
SGD:S000000016	YAL018C	LDS1
SGD:S000000017	YAL019W	FUN30
SGD:S000000018	YAL020C	ATS1
SGD:S000000019	YAL021C	CCR4
SGD:S000000020	YAL022C	FUN26
SGD:S000000021	YAL023C	PMT2
SGD:S000000022	YAL024C	LTE1
SGD:S000000023	YAL025C	MAK16
SGD:S000000024	YAL026C	DRS2
SGD:S000000025	YAL027W	SAW1
SGD:S000000026	YAL028W	FRT2
SGD:S000000027	YAL029C	MYO4
SGD:S000000028	YAL030W	SNC1
SGD:S000000029	YAL031C	GIP4
SGD:S000000030	YAL032C	PRP45
SGD:S000000031	YAL033W	POP5
SGD:S000000032	YAL034W-A	MTW1
SGD:S000000033	YAL035W	FUN12
SGD:S000000034	YAL036C	RBG1
SGD:S000000035	YAL037W	""
SGD:S000000036	YAL038W	CDC19
SGD:S000000037	YAL039C	CYC3
SGD:S000000038	YAL040C	CLN3
SGD:S000000039	YAL041W	CDC24
SGD:S000000040	YAL042W	ERV46
SGD:S000000041	YAL043C	PTA1
SGD:S000000042	YAL044C	GCV3
SGD:S000000043	YAL045C	""
SGD:S000000044	YAL046C	BOL3
SGD:S000000045	YAL047C	SPC72
SGD:S000000046	YAL048C	GEM1
SGD:S000000047	YAL049C	AIM2
SGD:S000000048	YAL051W	OAF1
SGD:S000000049	YAL053W	FLC2
SGD:S000000050	YAL054C	ACS1
SGD:S000000051	YAL055W	PEX22
SGD:S000000052	YAL056W	GPB2
SGD:S000000054	YAL058W	CNE1
SGD:S000000055	YAL059W	ECM1
SGD:S000000056	YAL060W	BDH1
SGD:S000000057	YAL061W	BDH2
SGD:S000000058	YAL062W	GDH3
SGD:S000000059	YAL063C	FLO9
SGD:S000000060	YAL064W	""
SGD:S000000061	YAL066W	""
SGD:S000000062	YAL067C	SEO1
SGD:S000000063	YAR002W	NUP60
SGD:S000000064	YAR003W	SWD1
SGD:S000000065	YAR007C	RFA1
SGD:S000000066	YAR008W	SEN34
SGD:S000000067	YAR009C	""
SGD:S000000068	YAR010C	""
SGD:S000000069	YAR014C	BUD14
SGD:S000000070	YAR015W	ADE1
SGD:S000000071	YAR018C	KIN3
SGD:S000000072	YAR019C	CDC15
SGD:S000000073	YAR020C	PAU7
SGD:S000000074	YAR023C	DFP1
SGD:S000000075	YAR027W	UIP3
SGD:S000000076	YAR028W	KTD1
SGD:S000000077	YAR029W	DFP2
SGD:S000000078	YAR031W	PRM9
SGD:S000000079	YAR033W	MST28
SGD:S000000080	YAR035W	YAT1
SGD:S000000081	YAR042W	SWH1
SGD:S000000082	YAR044W	""
SGD:S000000083	YAR047C	""
SGD:S000000084	YAR050W	FLO1
SGD:S000000085	YAR053W	""
